Drug Name,Age,Degree
Succinylcholine,777,68
Carbachol,789,55
Bethanechol,825,55
Pilocarpine,1677,147
Ambenonium,801,139
Decamethonium,813,139
Cytisine,633,0
Pyridostigmine,741,143
Isoflurophate,813,193
Hexafluronium,741,0
Demecarium,693,139
Physostigmine,1701,139
Edrophonium,789,144
Echothiophate,693,139
Neostigmine,1029,313
Dimetacrine,597,0
Tubocurarine,861,232
Butabarbital,1017,321
Talbutal,741,0
Secobarbital,993,654
Metharbital,825,3
Thiopental,993,504
Methylphenobarbital,1017,537
Amobarbital,1113,494
Aprobarbital,1161,0
Butethal,1125,321
Heptabarbital,825,0
Hexobarbital,1017,615
Barbital,1365,494
Levallorphan,789,2
Anileridine,705,0
Morphine,2397,868
Codeine,2217,571
Hydromorphone,1089,606
Oxycodone,1197,588
Dextromethorphan,765,497
Menthol,2913,0
Levorphanol,789,451
Hydrocodone,1113,633
Diphenoxylate,681,451
Pentolinium,777,292
Trimethaphan,765,292
Halothane,729,480
Heroin,1425,451
Dihydromorphine,1245,451
Phencyclidine,801,0
Caffeine,1281,572
Theophylline,1377,452
Dyphylline,825,180
Primaquine,777,336
Papaverine,1233,113
Aminophylline,1305,263
Oxtriphylline,789,25
Quinine,2277,1000
Hexylcaine,777,0
Cinchocaine,873,323
Mephenytoin,861,142
Dyclonine,729,323
Prilocaine,645,345
Ethotoin,717,331
Proparacaine,765,323
Benzonatate,705,0
Oxybuprocaine,765,323
Mepivacaine,693,351
Cromoglicic acid,585,0
Procainamide,741,194
Benzocaine,1377,507
Phenacemide,813,3
Ajmaline,705,69
Phenazopyridine,681,4
Drotaverine,621,0
Ethoxzolamide,717,72
Trimethadione,849,138
Methocarbamol,717,323
Acetyldigitoxin,753,424
Benzthiazide,681,0
Ethosuximide,681,420
Cyclothiazide,645,203
Methazolamide,693,185
Acetazolamide,765,187
Ethacrynic acid,609,0
Ethinamate,741,0
Ouabain,1305,426
Diclofenamide,705,143
Quinethazone,645,368
Cyclandelate,705,0
Methsuximide,717,357
Mafenide,825,6
Cinnarizine,669,222
Chlormerodrin,777,0
Pyridoxal Phosphate,933,0
Ethanol,3045,781
Methyprylon,741,64
Thiamylal,789,535
Chlormezanone,705,322
Glutethimide,753,327
Phenformin,693,171
Amphetamine,1017,326
Phentermine,693,268
Isoetarine,909,78
Norepinephrine,801,156
Alseroxylon,777,0
Phenylpropanolamine,945,146
Methylphenidate,741,322
Lisuride,585,161
Metaraminol,753,98
Epinephrine,1389,201
Ergotamine,1149,557
Apomorphine,1773,153
Procaine,1341,326
Methoxamine,813,98
Phenelzine,693,423
Orciprenaline,669,117
Phenmetrazine,753,42
Pseudoephedrine,705,143
Benzphetamine,681,385
Cocaine,1593,541
Amantadine,609,238
Oxymetazoline,669,85
Diethylpropion,693,27
Isoprenaline,813,127
Deserpidine,717,164
Chloroprocaine,777,323
L-DOPA,597,0
Isocarboxazid,693,419
Ergonovine,933,473
Hydralazine,777,313
Ephedra,1569,118
Ephedrine,1089,50
Mephentermine,837,279
Fencamfamine,657,365
Methamphetamine,885,345
Phendimetrazine,669,1
Pargyline,645,349
Xylometazoline,693,281
Isometheptene,825,30
Levonordefrin,681,26
Naphazoline,897,46
Propylhexedrine,813,0
Captodiame,705,1
Chlorphenamine,813,461
Betazole,765,0
Methysergide,693,0
Metixene,681,141
Methylergometrine,849,9
Thiethylperazine,669,121
Trihexyphenidyl,813,141
Oxyphencyclimine,693,0
Procyclidine,741,141
Ethopropazine,777,155
Hyoscyamine,681,150
Cyproheptadine,669,368
Methylscopolamine bromide,837,0
Gallamine Triethiodide,789,232
Tridihexethyl,753,0
Anisotropine Methylbromide,657,141
Atropine,1677,166
Histamine Phosphate,933,116
Phentolamine,777,164
Homatropine Methylbromide,1641,0
