Drug Name,Age,Degree
Levamisole,545,0
Succinylcholine,773,59
Carbachol,785,27
Bethanechol,821,3
Ambenonium,797,0
Decamethonium,809,0
Cytisine,629,0
Pyridostigmine,737,9
Isoflurophate,809,61
Hexafluronium,737,0
Demecarium,689,0
Edrophonium,785,9
Echothiophate,689,1
Neostigmine,1025,8
Dimetacrine,593,0
Tubocurarine,857,0
Butabarbital,1013,190
Butalbital,557,82
Talbutal,737,0
Pentobarbital,1037,192
Secobarbital,989,220
Metharbital,821,0
Thiopental,989,13
Primidone,797,307
Methylphenobarbital,1013,2
Amobarbital,1109,73
Aprobarbital,1157,0
Butethal,1121,147
Heptabarbital,821,147
Hexobarbital,1013,147
Levallorphan,785,0
Anileridine,701,0
Naloxone,569,2
Oxymorphone,689,70
Hydromorphone,1085,70
Methadone,833,218
Pethidine,881,134
Dextromethorphan,761,71
Dextropropoxyphene,713,0
Pentazocine,629,60
Fentanyl,641,173
Loperamide,497,6
Levorphanol,785,61
Hydrocodone,1109,311
Diphenoxylate,677,14
Pentolinium,773,0
Trimethaphan,761,0
Halothane,725,2
Ketamine,641,54
Phencyclidine,797,0
Ketobemidone,773,0
Ifenprodil,533,0
Chloroquine,833,84
Dyphylline,821,64
Pentoxifylline,533,139
Dipyridamole,665,99
Primaquine,773,49
Oxtriphylline,785,0
Tofisopam,497,11
Phenytoin,941,443
Clotrimazole,521,11
Lidocaine,821,67
Bupivacaine,617,20
Hexylcaine,773,0
Cinchocaine,869,0
Mephenytoin,857,2
Carbamazepine,641,290
Dyclonine,725,0
Prilocaine,641,28
Ethotoin,713,36
Proparacaine,761,0
Benzonatate,701,0
Oxybuprocaine,761,0
Mepivacaine,689,56
Cromoglicic acid,581,1
Procainamide,737,28
Miconazole,545,11
Phenacemide,809,0
Econazole,509,3
Ajmaline,701,0
Phenazopyridine,677,4
Drotaverine,617,0
Methyclothiazide,677,78
Chlorthalidone,677,100
Ethoxzolamide,713,55
Diltiazem,509,151
Trimethadione,845,2
Methocarbamol,713,32
Bendroflumethiazide,689,92
Acetyldigitoxin,749,0
Metolazone,521,100
Benzthiazide,677,0
Ethosuximide,677,68
Cyclothiazide,641,23
Verapamil,641,259
Furosemide,629,112
