Drug Name,Age,Degree
Pilocarpine,1691,183
Physostigmine,1715,186
Neostigmine,1043,203
Butabarbital,1031,357
Pentobarbital,1055,1032
Secobarbital,1007,766
Thiopental,1007,649
Methylphenobarbital,1031,643
Phenobarbital,1283,1127
Amobarbital,1127,606
Aprobarbital,1175,0
Butethal,1139,357
Hexobarbital,1031,703
Barbital,1379,606
Morphine,2411,761
Codeine,2231,635
Hydromorphone,1103,655
Oxycodone,1211,631
Menthol,2927,0
Hydrocodone,1127,634
Heroin,1439,536
Dihydromorphine,1259,536
Caffeine,1295,351
Theophylline,1391,515
Papaverine,1247,184
Aminophylline,1319,338
Quinine,2291,889
Quinidine,1199,739
Benzocaine,1391,379
Ouabain,1319,625
Ethanol,3059,589
Amphetamine,1031,666
Epinephrine,1403,265
Ergotamine,1163,658
Apomorphine,1787,348
Procaine,1355,359
Cocaine,1607,595
Ergonovine,947,604
Ephedra,1583,122
Ephedrine,1103,87
Atropine,1691,192
Homatropine Methylbromide,1655,0
Scopolamine,1391,487
Suramin,1175,24
Progesterone,995,389
Estradiol,983,444
Podofilox,2375,125
Acetaminophen,1583,245
Salicylic acid,1715,711
Acetylsalicylic acid,1427,687
Salicylate-sodium,1715,0
Antipyrine,1595,687
