Drug Name,Age,Degree
Dimetacrine,648,1717
Butabarbital,1068,1629
Butalbital,612,1312
Pentobarbital,1092,1887
Secobarbital,1044,1870
Thiopental,1044,1475
Primidone,852,1625
Methylphenobarbital,1068,1485
Phenobarbital,1320,1728
Amobarbital,1164,1300
Hexobarbital,1068,1424
Barbital,1416,1391
Alfentanil,456,1518
Buprenorphine,516,1526
Tramadol,528,1952
Morphine,2448,1404
Codeine,2268,1632
Hydromorphone,1140,1615
Methadone,888,2097
Oxycodone,1248,1253
Dextromethorphan,816,1359
Sufentanil,504,1336
Fentanyl,696,1965
Loperamide,552,1393
Remifentanil,300,1337
Felbamate,336,1366
Halothane,780,1433
Ketamine,696,1875
Chloroquine,888,1581
Pentoxifylline,588,1585
Cilostazol,264,1861
Quinine,2328,2143
Fluconazole,396,1533
Ranolazine,180,1494
Phenytoin,996,1859
Mephenytoin,912,1484
Lamotrigine,372,2140
Carbamazepine,696,2236
Propofol,384,1793
Quinidine,1236,2466
Procainamide,792,1535
Propafenone,528,1547
Fosphenytoin,300,1682
Torasemide,336,1607
Pregabalin,204,1829
Methyclothiazide,732,1476
Isradipine,384,1758
Topiramate,300,1583
Chlorthalidone,732,1428
Diltiazem,564,1660
Trimethadione,900,1799
Nisoldipine,372,1623
Bendroflumethiazide,744,1678
Metolazone,576,1529
Lercanidipine,288,1352
Benzthiazide,732,1412
Ethosuximide,732,1626
Cyclothiazide,696,1499
Verapamil,696,1961
Furosemide,684,1518
Hydroflumethiazide,744,1621
Indapamide,528,1735
Acetazolamide,816,1579
Chlorothiazide,768,1641
Bumetanide,588,1358
Zonisamide,384,2216
Hydrochlorothiazide,744,1908
Trichlormethiazide,732,1621
Felodipine,396,1582
Nitrendipine,432,1408
Nifedipine,552,1948
Bepridil,480,1376
Polythiazide,720,1667
Mibefradil,288,1572
Methsuximide,768,1655
Cinnarizine,720,1375
Baclofen,600,1594
Eszopiclone,204,1684
Zolpidem,396,1351
Isoflurane,504,1585
Ethanol,3096,1547
Methoxyflurane,708,1475
Thiamylal,840,1372
Desflurane,348,1372
Sevoflurane,372,1705
Ketazolam,492,1510
Perampanel,108,1359
Fluvoxamine,456,2044
Amphetamine,1068,2031
Phentermine,744,1494
Reserpine,816,1888
Citalopram,384,1673
Eletriptan,240,1428
Cabergoline,336,1613
Venlafaxine,336,2042
Etomidate,588,1585
Zolmitriptan,288,1353
Dihydroergotamine,900,1584
Protriptyline,660,1619
Pramipexole,288,1471
Fluoxetine,408,1814
Duloxetine,204,2224
Clonidine,660,1815
Lisuride,636,1361
Cisapride,372,1561
Dexmedetomidine,264,1772
Epinephrine,1440,1276
Sumatriptan,372,1793
Ergotamine,1200,1592
Tizanidine,300,1547
Apomorphine,1824,1480
Procaine,1392,1414
Tranylcypromine,732,1673
Phenelzine,744,2010
Minaprine,504,1593
Dobutamine,528,1321
Benzphetamine,732,1397
Terbutaline,612,1565
Cocaine,1644,1284
Amantadine,660,1444
Almotriptan,252,1829
Diethylpropion,744,1282
Rizatriptan,276,1584
Pindolol,516,2046
Formoterol,420,1394
Frovatriptan,252,1349
Salbutamol,624,1462
Guanfacine,492,1718
Selegiline,468,1821
Sertraline,360,1475
Sibutramine,312,1602
