Drug Name,Age,Degree
Nicotine,396,0
Cevimeline,132,2
Varenicline,60,0
Methacholine,300,1
Tacrine,216,133
Galantamine,120,101
Malathion,348,0
Donepezil,180,99
Rivastigmine,168,61
Naltrexone,324,0
Alfentanil,336,11
Nalbuphine,384,3
Buprenorphine,396,16
Dezocine,300,2
Methadyl Acetate,216,0
Alvimopan,36,34
Methylnaltrexone,36,0
Glycine,396,0
Tramadol,408,133
Butorphanol,396,3
Aprepitant,96,46
Sufentanil,384,6
Remifentanil,180,2
Felbamate,216,13
Memantine,336,6
Levomethadyl Acetate,216,3
Vapreotide,72,0
Tadalafil,108,39
Avanafil,-12,11
Sildenafil,156,23
Milrinone,288,0
Anagrelide,168,2
Mefloquine,264,24
Pentostatin,240,3
Vardenafil,96,39
Levosimendan,132,0
Cilostazol,144,16
Amrinone,348,0
Roflumilast,12,36
Enoximone,264,0
Ibudilast,264,0
Udenafil,72,3
Acarbose,192,2
Miglitol,180,2
Voglibose,204,0
Cetuximab,96,0
Indecainide,264,0
Fluconazole,276,81
Dofetilide,144,31
Oxiconazole,336,0
Ranolazine,60,49
Terconazole,288,0
Ropivacaine,180,1
Ibutilide,192,16
Gefitinib,108,37
Mexiletine,420,21
Erlotinib,84,18
Lamotrigine,252,18
Voriconazole,108,257
Moricizine,252,4
Riluzole,192,0
Oxcarbazepine,252,15
Propofol,264,2
Levobupivacaine,144,0
Tioconazole,360,0
Ketoconazole,360,164
Tocainide,360,2
Sertaconazole,96,0
Itraconazole,276,130
Propafenone,408,46
Flecainide,348,25
Halofantrine,324,22
Encainide,288,1
Lapatinib,48,21
Posaconazole,72,44
Fosphenytoin,180,127
Aprindine,420,0
Bifonazole,336,0
Permethrin,300,0
Afatinib,-24,0
LULICONAZOLE,-24,0
Vandetanib,0,16
Adenosine,264,6
Regadenoson,36,4
Torasemide,216,29
Pregabalin,84,1
Isradipine,264,17
Topiramate,180,13
Amlodipine,252,10
Nimodipine,312,8
Nisoldipine,252,10
Lercanidipine,168,1
Naftifine,276,0
Indapamide,408,21
Terbinafine,252,63
Dorzolamide,204,1
Zonisamide,264,26
Gabapentin,216,5
Felodipine,276,34
Nitrendipine,312,6
Butenafine,180,0
Brinzolamide,132,6
Levetiracetam,144,2
Bepridil,360,17
Mibefradil,168,5
Piretanide,372,0
Succinic acid,36,0
Pyruvic acid,252,0
Eszopiclone,84,3
Zolpidem,276,25
Isoflurane,384,1
Progabide,312,0
Vigabatrin,264,9
Desflurane,228,0
Zopiclone,288,26
Sevoflurane,252,0
Ketazolam,372,3
Perampanel,-12,7
Arbaclofen,0,0
Fluvoxamine,336,88
Midodrine,408,34
Citalopram,264,51
Eletriptan,120,28
Guanadrel,336,0
Reboxetine,168,0
Cabergoline,216,8
Ropinirole,180,9
Venlafaxine,216,96
Zolmitriptan,168,59
Pramipexole,168,9
Dipivefrin,396,2
Fluoxetine,288,101
Duloxetine,84,24
Brimonidine,180,11
Cisapride,252,88
Guanabenz,348,3
Dexmedetomidine,144,3
Sumatriptan,252,20
Tizanidine,180,46
Modafinil,300,10
Fenoldopam,204,0
Minaprine,384,0
Dobutamine,408,17
Almotriptan,132,26
Salmeterol,252,17
Naratriptan,168,23
Rizatriptan,156,20
