Drug Name,Age,Degree
Galantamine,210,394
Donepezil,270,377
Primidone,822,1141
Alfentanil,426,682
Nalbuphine,474,543
Buprenorphine,486,719
Oxymorphone,714,640
Dezocine,390,541
Methadyl Acetate,306,539
Tramadol,498,719
Methadone,858,921
Pethidine,906,763
Butorphanol,486,543
Dextropropoxyphene,738,644
Pentazocine,654,544
Aprepitant,186,738
Sufentanil,474,756
Fentanyl,666,748
Levorphanol,810,540
Remifentanil,270,672
Felbamate,306,513
Diphenoxylate,702,539
Halothane,750,625
Ketamine,666,491
Levomethadyl Acetate,306,617
Ketobemidone,798,662
Tadalafil,198,347
Avanafil,78,318
Sildenafil,246,891
Anagrelide,258,357
Mefloquine,354,476
Chloroquine,858,992
Vardenafil,186,362
Dipyridamole,690,528
Cilostazol,234,404
Fluconazole,366,746
Ranolazine,150,861
Phenytoin,966,1133
Clotrimazole,546,834
Lidocaine,846,686
Ropivacaine,270,605
Bupivacaine,642,631
Lamotrigine,342,573
Carbamazepine,666,1150
Voriconazole,198,860
Propofol,354,692
Levobupivacaine,234,579
Ketoconazole,450,914
Itraconazole,366,802
Propafenone,498,654
Lapatinib,138,345
Posaconazole,162,770
Fosphenytoin,270,1096
Torasemide,306,783
Pregabalin,174,477
Methyclothiazide,702,726
Isradipine,354,948
Topiramate,270,571
Chlorthalidone,702,834
Diltiazem,534,1047
Amlodipine,342,546
Nimodipine,402,505
Nisoldipine,342,573
Bendroflumethiazide,714,800
Acetyldigitoxin,774,637
Metolazone,546,782
Lercanidipine,258,528
Benzthiazide,702,476
Ethosuximide,702,578
Verapamil,666,1082
Furosemide,654,624
Naftifine,366,583
Hydroflumethiazide,714,834
Indapamide,498,896
Terbinafine,342,442
Chlorothiazide,738,782
Bumetanide,558,621
Zonisamide,354,556
Gabapentin,306,511
Hydrochlorothiazide,714,783
Trichlormethiazide,702,759
Felodipine,366,645
Nitrendipine,402,542
Nifedipine,522,509
Levetiracetam,234,498
Bepridil,450,507
Polythiazide,690,706
Quinethazone,666,576
Mibefradil,258,476
Digitoxin,834,701
Piretanide,462,404
Methsuximide,738,518
Valproic Acid,618,723
Eszopiclone,174,473
Zolpidem,366,565
Clorazepate,618,447
Isoflurane,474,569
Methoxyflurane,678,507
Thiamylal,810,671
Desflurane,318,553
Zopiclone,378,479
Sevoflurane,342,762
Flunitrazepam,534,494
Ketazolam,462,464
Perampanel,78,465
Fluvoxamine,426,1120
Reserpine,786,714
Citalopram,354,966
Cabergoline,306,674
Ropinirole,270,858
Venlafaxine,306,1174
Etomidate,558,448
Dihydroergotamine,870,998
Protriptyline,630,703
Pramipexole,258,488
Fluoxetine,378,971
Duloxetine,174,927
Brimonidine,270,660
Clonidine,630,792
Cisapride,342,385
Dexmedetomidine,234,579
Tizanidine,270,692
Tranylcypromine,702,960
Phenelzine,714,633
Minaprine,474,657
Pseudoephedrine,726,477
Benzphetamine,702,515
Terbutaline,582,556
Pindolol,486,715
Guanfacine,462,772
Selegiline,438,771
Sertraline,330,953
Bupropion,438,431
Moclobemide,354,722
Pergolide,438,457
Acebutolol,546,700
Bromocriptine,522,851
Clomipramine,606,946
Isocarboxazid,714,673
Ergonovine,954,699
Lisdexamfetamine,138,529
Rasagiline,162,629
Pargyline,666,467
Zimelidine,450,599
Milnacipran,114,699
Lofexidine,450,729
Indacaterol,114,368
Rotigotine,150,625
Tapentadol,126,665
Desvenlafaxine,126,763
Mirabegron,78,442
Levomilnacipran,66,810
Trimipramine,654,905
Nefazodone,294,1276
Escitalopram,198,954
Betaxolol,426,845
Timolol,534,739
Sotalol,534,679
Carteolol,462,714
Amiodarone,678,1282
Metipranolol,354,586
Esmolol,390,560
Metoprolol,522,939
Atenolol,522,690
Propranolol,654,804
Labetalol,498,798
Bisoprolol,390,762
Alprenolol,618,640
Nadolol,486,675
Levobunolol,402,469
Penbutolol,462,669
Oxprenolol,582,913
Nebivolol,258,713
Bupranolol,594,595
Doxazosin,366,566
Ondansetron,342,619
Terazosin,402,401
Dextroamphetamine,510,581
Dronedarone,114,912
Agomelatine,114,377
Ziprasidone,210,1158
Disopyramide,498,419
Dapiprazole,342,610
