Drug Name,Age,Degree
Levamisole,541,0
Succinylcholine,769,59
Carbachol,781,27
Bethanechol,817,3
Ambenonium,793,0
Decamethonium,805,0
Cytisine,625,0
Pyridostigmine,733,9
Isoflurophate,805,61
Hexafluronium,733,0
Demecarium,685,0
Edrophonium,781,9
Echothiophate,685,1
Neostigmine,1021,8
Dimetacrine,589,0
Tubocurarine,853,0
Butabarbital,1009,190
Butalbital,553,82
Talbutal,733,0
Pentobarbital,1033,192
Secobarbital,985,220
Metharbital,817,0
Thiopental,985,13
Primidone,793,307
Methylphenobarbital,1009,2
Amobarbital,1105,73
Aprobarbital,1153,0
Butethal,1117,147
Heptabarbital,817,147
Hexobarbital,1009,147
Levallorphan,781,0
Anileridine,697,0
Naloxone,565,2
Oxymorphone,685,70
Hydromorphone,1081,70
Methadone,829,218
Pethidine,877,134
Dextromethorphan,757,71
Dextropropoxyphene,709,0
Pentazocine,625,60
Fentanyl,637,173
Loperamide,493,6
Levorphanol,781,61
Hydrocodone,1105,311
Diphenoxylate,673,14
Pentolinium,769,0
Trimethaphan,757,0
Halothane,721,2
Ketamine,637,54
Phencyclidine,793,0
Ketobemidone,769,0
Ifenprodil,529,0
Chloroquine,829,84
Dyphylline,817,64
Pentoxifylline,529,139
Dipyridamole,661,100
Primaquine,769,49
Oxtriphylline,781,0
Tofisopam,493,11
Phenytoin,937,443
Clotrimazole,517,11
Lidocaine,817,67
Bupivacaine,613,20
Hexylcaine,769,0
Cinchocaine,865,0
Mephenytoin,853,2
Carbamazepine,637,290
Dyclonine,721,0
Prilocaine,637,28
Ethotoin,709,36
Proparacaine,757,0
Benzonatate,697,0
Oxybuprocaine,757,0
Mepivacaine,685,56
Cromoglicic acid,577,1
Procainamide,733,28
Miconazole,541,11
Phenacemide,805,0
Econazole,505,3
Ajmaline,697,0
Phenazopyridine,673,4
Drotaverine,613,0
Methyclothiazide,673,79
Chlorthalidone,673,101
Ethoxzolamide,709,55
Diltiazem,505,152
Trimethadione,841,2
Methocarbamol,709,32
Bendroflumethiazide,685,93
Acetyldigitoxin,745,0
Metolazone,517,101
Benzthiazide,673,0
Ethosuximide,673,68
Cyclothiazide,637,23
Verapamil,637,260
Furosemide,625,114
Methazolamide,685,33
Hydroflumethiazide,685,23
Acetazolamide,757,80
Chlorothiazide,709,101
Bumetanide,529,109
Ethacrynic acid,601,113
Hydrochlorothiazide,685,102
Trichlormethiazide,673,244
Ethinamate,733,0
Nifedipine,493,104
Diazoxide,553,102
Diclofenamide,697,54
Bretylium,517,60
Polythiazide,661,0
Quinethazone,637,0
Digitoxin,805,0
Cyclandelate,697,0
Methsuximide,709,39
Mafenide,817,5
Cinnarizine,661,0
Chlormerodrin,769,0
Pyridoxal Phosphate,925,0
L-Alanine,541,0
Baclofen,541,195
Enflurane,529,0
Valproic Acid,589,76
Meprobamate,733,33
Clorazepate,589,65
Methoxyflurane,649,0
Methyprylon,733,0
Thiamylal,781,0
Chlormezanone,697,81
Glutethimide,745,2
Flunitrazepam,505,11
Phenformin,685,0
Glisoxepide,505,0
Amphetamine,1009,200
Phentermine,685,132
Reserpine,757,166
Isoetarine,901,0
Etomidate,529,0
Dihydroergotamine,841,79
Protriptyline,601,150
Norepinephrine,793,93
Alseroxylon,769,0
