Drug Name,Age,Degree
Pilocarpine,1657,1
Physostigmine,1681,0
Phenobarbital,1249,83
Barbital,1345,2
Morphine,2377,5
Codeine,2197,7
Oxycodone,1177,9
Menthol,2893,0
Heroin,1405,2
Dihydromorphine,1225,0
Caffeine,1261,13
Theophylline,1357,80
Papaverine,1213,2
Aminophylline,1285,76
Quinine,2257,30
Quinidine,1165,116
Benzocaine,1357,0
Ouabain,1285,0
Ethanol,3025,6
Epinephrine,1369,48
Apomorphine,1753,11
Procaine,1321,0
Cocaine,1573,14
Ephedra,1549,17
Atropine,1657,8
Homatropine Methylbromide,1621,5
Scopolamine,1357,8
Podofilox,2341,0
Acetaminophen,1549,8
Salicylic acid,1681,0
Acetylsalicylic acid,1393,45
Salicylate-sodium,1681,13
Antipyrine,1561,0
