Drug Name,Age,Degree
Tacrine,294,339
Galantamine,198,354
Donepezil,258,326
Primidone,810,1033
Alfentanil,414,699
Nalbuphine,462,446
Buprenorphine,474,709
Oxymorphone,702,563
Dezocine,378,445
Methadyl Acetate,294,443
Tramadol,486,607
Methadone,846,884
Pethidine,894,668
Butorphanol,474,446
Dextropropoxyphene,726,520
Pentazocine,642,446
Aprepitant,174,653
Sufentanil,462,674
Fentanyl,654,728
Loperamide,510,398
Remifentanil,258,589
Felbamate,294,476
Diphenoxylate,690,443
Halothane,738,585
Ketamine,654,561
Levomethadyl Acetate,294,516
Ketobemidone,786,556
Sildenafil,234,748
Anagrelide,246,316
Mefloquine,342,503
Chloroquine,846,921
Vardenafil,174,293
Dipyridamole,678,608
Cilostazol,222,341
Udenafil,150,234
Fluconazole,354,706
Dofetilide,222,307
Ranolazine,138,749
Phenytoin,954,1067
Clotrimazole,534,780
Lidocaine,834,688
Ropivacaine,258,568
Bupivacaine,630,581
Gefitinib,186,420
Erlotinib,162,341
Lamotrigine,330,618
Carbamazepine,654,1093
Voriconazole,186,753
Propofol,342,622
Levobupivacaine,222,544
Ketoconazole,438,922
Itraconazole,354,721
Propafenone,486,432
Lapatinib,126,385
Posaconazole,150,709
Fosphenytoin,258,993
Afatinib,54,333
Vandetanib,78,233
Torasemide,294,672
Pregabalin,162,454
Methyclothiazide,690,569
Isradipine,342,817
Topiramate,258,509
Chlorthalidone,690,643
Diltiazem,522,970
Amlodipine,330,556
Nimodipine,390,467
Nisoldipine,330,548
Bendroflumethiazide,702,661
Acetyldigitoxin,762,535
Metolazone,534,643
Lercanidipine,246,426
Verapamil,654,913
Furosemide,642,550
Naftifine,354,481
Hydroflumethiazide,702,643
Indapamide,486,757
Terbinafine,330,392
Dorzolamide,282,294
Chlorothiazide,726,643
Bumetanide,546,547
Zonisamide,342,404
Gabapentin,294,438
Hydrochlorothiazide,702,643
Trichlormethiazide,690,564
Felodipine,354,616
Nitrendipine,390,547
Nifedipine,510,610
Levetiracetam,222,504
Bepridil,438,544
Polythiazide,678,564
Mibefradil,246,483
Digitoxin,822,735
Valproic Acid,606,611
Meprobamate,750,515
Eszopiclone,162,432
Zolpidem,354,505
Clorazepate,606,410
Isoflurane,462,537
Methoxyflurane,666,466
Vigabatrin,342,329
Thiamylal,798,591
Desflurane,306,523
Zopiclone,366,439
Sevoflurane,330,703
Flunitrazepam,522,449
Ketazolam,450,540
Perampanel,66,416
Fluvoxamine,414,989
Reserpine,774,813
Citalopram,342,933
Eletriptan,198,420
Cabergoline,294,415
Ropinirole,258,768
Venlafaxine,294,1036
Dihydroergotamine,858,827
Protriptyline,618,734
Pramipexole,246,455
Fluoxetine,366,868
Duloxetine,162,775
Brimonidine,258,1014
Clonidine,618,781
Cisapride,330,397
Dexmedetomidine,222,519
Sumatriptan,330,324
Tizanidine,258,615
Modafinil,378,565
Tranylcypromine,690,819
Phenelzine,702,502
Minaprine,462,523
Almotriptan,210,287
Pindolol,474,579
Guanfacine,450,672
Selegiline,426,742
Sertraline,318,848
Bupropion,426,391
Moclobemide,342,580
Acebutolol,534,713
Bromocriptine,510,766
Clomipramine,594,929
Isocarboxazid,702,499
Lisdexamfetamine,126,231
Arformoterol,138,258
Rasagiline,150,517
Zimelidine,438,613
Milnacipran,102,559
Indacaterol,102,441
Rotigotine,138,557
Tapentadol,114,573
Vilazodone,78,267
Desvenlafaxine,114,624
Mirabegron,66,505
Levomilnacipran,54,771
Trimipramine,642,786
Nefazodone,282,995
Escitalopram,186,631
Betaxolol,414,714
Timolol,522,729
Sotalol,522,577
Carteolol,450,579
Amiodarone,666,928
Metipranolol,342,494
Esmolol,378,460
Metoprolol,510,927
Atenolol,510,772
Propranolol,642,832
Labetalol,486,637
Bisoprolol,378,629
Alprenolol,606,501
Nadolol,474,690
Levobunolol,390,412
Penbutolol,450,536
Oxprenolol,570,770
Nebivolol,246,378
Bupranolol,582,456
Doxazosin,354,559
Dolasetron,246,289
Ondansetron,330,567
Terazosin,390,443
Dronedarone,102,731
Agomelatine,102,337
Ziprasidone,198,880
Disopyramide,486,378
Dapiprazole,330,372
Amitriptyline,678,866
Olanzapine,258,700
Alfuzosin,354,426
Clozapine,546,933
Sulpiride,594,466
Loxapine,510,406
Remoxipride,342,410
Promazine,738,697
Prochlorperazine,738,533
Droperidol,654,480
Prazosin,522,628
Imipramine,702,974
Chlorpromazine,786,917
Buspirone,378,663
Darifenacin,162,422
Haloperidol,702,910
Triflupromazine,726,590
Nortriptyline,654,684
Amoxapine,450,465
Nicardipine,438,885
Fluphenazine,702,615
Thioridazine,702,800
Tamsulosin,294,398
