Drug Name,Age,Degree
Pilocarpine,1680,150
Physostigmine,1704,159
Neostigmine,1032,325
Butabarbital,1020,328
Pentobarbital,1044,946
Secobarbital,996,711
Thiopental,996,569
Methylphenobarbital,1020,592
Phenobarbital,1272,1123
Amobarbital,1116,559
Aprobarbital,1164,0
Butethal,1128,328
Hexobarbital,1020,654
Barbital,1368,559
Morphine,2400,861
Codeine,2220,546
Hydromorphone,1092,584
Oxycodone,1200,566
Menthol,2916,0
Hydrocodone,1116,594
Heroin,1428,448
Dihydromorphine,1248,448
Caffeine,1284,511
Theophylline,1380,485
Papaverine,1236,184
Aminophylline,1308,318
Quinine,2280,895
Quinidine,1188,796
Benzocaine,1380,493
Ouabain,1308,552
Ethanol,3048,516
Amphetamine,1020,332
Epinephrine,1392,210
Ergotamine,1152,563
Apomorphine,1776,334
Procaine,1344,333
Cocaine,1596,537
Ergonovine,936,517
Ephedra,1572,104
Ephedrine,1092,74
Atropine,1680,166
Homatropine Methylbromide,1644,0
Scopolamine,1380,578
Suramin,1164,16
Progesterone,984,552
Testosterone,960,383
Estradiol,972,554
Podofilox,2364,116
Acetaminophen,1572,442
Salicylic acid,1704,774
Acetylsalicylic acid,1416,752
Salicylate-sodium,1704,0
Antipyrine,1584,586
