Drug Name,Age,Degree
Nicotine,461,17
Cevimeline,197,3
Varenicline,125,15
Methacholine,365,20
Tacrine,281,142
Galantamine,185,65
Malathion,413,0
Donepezil,245,56
Rivastigmine,233,73
Naltrexone,389,20
Alfentanil,401,93
Nalbuphine,449,60
Buprenorphine,461,226
Dezocine,365,0
Methadyl Acetate,281,0
Alvimopan,101,20
Methylnaltrexone,101,4
Glycine,461,0
Tramadol,473,220
Butorphanol,461,78
Aprepitant,161,210
Sufentanil,449,113
Remifentanil,245,65
Felbamate,281,84
Memantine,401,14
Levomethadyl Acetate,281,0
Vapreotide,137,0
Tadalafil,173,139
Avanafil,53,64
Sildenafil,221,91
Milrinone,353,1
Anagrelide,233,50
Mefloquine,329,100
Pentostatin,305,15
Vardenafil,161,133
Levosimendan,197,0
Cilostazol,209,117
Amrinone,413,51
Roflumilast,77,150
Enoximone,329,0
Ibudilast,329,1
Udenafil,137,0
Acarbose,257,16
Miglitol,245,14
Voglibose,269,0
Cetuximab,161,0
Indecainide,329,0
Fluconazole,341,257
Dofetilide,209,217
Oxiconazole,401,0
Ranolazine,125,149
Terconazole,353,1
Ropivacaine,245,11
Ibutilide,257,10
Gefitinib,173,62
Mexiletine,485,59
Erlotinib,149,66
Lamotrigine,317,103
Voriconazole,173,242
Moricizine,317,0
Riluzole,257,3
Oxcarbazepine,317,36
Propofol,329,47
Levobupivacaine,209,18
Tioconazole,425,3
Ketoconazole,425,261
Tocainide,425,0
Sertaconazole,161,0
Itraconazole,341,255
Propafenone,473,105
Flecainide,413,35
Halofantrine,389,30
Encainide,353,0
Lapatinib,113,80
Posaconazole,137,205
Fosphenytoin,245,300
Aprindine,485,0
Bifonazole,401,0
Permethrin,365,0
Afatinib,41,55
LULICONAZOLE,41,0
Vandetanib,65,45
Adenosine,329,8
Regadenoson,101,4
Torasemide,281,207
Pregabalin,149,48
Isradipine,329,111
Topiramate,245,150
Amlodipine,317,120
Nimodipine,377,179
Nisoldipine,317,122
Lercanidipine,233,66
Naftifine,341,0
Indapamide,473,103
Terbinafine,317,34
Dorzolamide,269,4
Zonisamide,329,71
Gabapentin,281,85
Felodipine,341,110
Nitrendipine,377,52
Butenafine,245,0
Brinzolamide,197,22
Levetiracetam,209,33
Bepridil,425,85
Mibefradil,233,0
Piretanide,437,0
Succinic acid,101,0
Pyruvic acid,317,0
