Drug Name,Age,Degree
Nicotine,445,0
Cevimeline,181,2
Varenicline,109,0
Methacholine,349,1
Tacrine,265,131
Galantamine,169,99
Malathion,397,0
Donepezil,229,97
Rivastigmine,217,61
Naltrexone,373,0
Alfentanil,385,11
Nalbuphine,433,3
Buprenorphine,445,16
Dezocine,349,2
Methadyl Acetate,265,0
Alvimopan,85,34
Methylnaltrexone,85,0
Glycine,445,0
Tramadol,457,133
Butorphanol,445,3
Aprepitant,145,46
Sufentanil,433,6
Remifentanil,229,2
Felbamate,265,13
Memantine,385,6
Levomethadyl Acetate,265,3
Vapreotide,121,0
Tadalafil,157,39
Avanafil,37,11
Sildenafil,205,23
Milrinone,337,0
Anagrelide,217,2
Mefloquine,313,22
Pentostatin,289,4
Vardenafil,145,39
Levosimendan,181,0
Cilostazol,193,16
Amrinone,397,0
Roflumilast,61,48
Enoximone,313,0
Ibudilast,313,0
Udenafil,121,3
Acarbose,241,2
Miglitol,229,2
Voglibose,253,0
Cetuximab,145,0
Indecainide,313,0
Fluconazole,325,79
Dofetilide,193,29
Oxiconazole,385,0
Ranolazine,109,47
Terconazole,337,0
Ropivacaine,229,1
Ibutilide,241,14
Gefitinib,157,37
Mexiletine,469,21
Erlotinib,133,18
Lamotrigine,301,18
Voriconazole,157,255
Moricizine,301,4
Riluzole,241,0
Oxcarbazepine,301,15
Propofol,313,2
Levobupivacaine,193,0
Tioconazole,409,0
Ketoconazole,409,165
Tocainide,409,2
Sertaconazole,145,0
Itraconazole,325,131
Propafenone,457,44
Flecainide,397,23
Halofantrine,373,20
Encainide,337,1
Lapatinib,97,19
Posaconazole,121,44
Fosphenytoin,229,127
Aprindine,469,0
Bifonazole,385,0
Permethrin,349,0
Afatinib,25,0
LULICONAZOLE,25,0
Vandetanib,49,16
Adenosine,313,6
Regadenoson,85,4
Torasemide,265,29
Pregabalin,133,1
Isradipine,313,15
Topiramate,229,13
Amlodipine,301,10
Nimodipine,361,8
Nisoldipine,301,10
Lercanidipine,217,1
Naftifine,325,0
Indapamide,457,19
Terbinafine,301,61
Dorzolamide,253,1
Zonisamide,313,26
Gabapentin,265,5
Felodipine,325,34
Nitrendipine,361,6
Butenafine,229,0
Brinzolamide,181,6
Levetiracetam,193,2
Bepridil,409,17
Mibefradil,217,5
Piretanide,421,0
Succinic acid,85,0
Pyruvic acid,301,0
Eszopiclone,133,3
Zolpidem,325,25
Isoflurane,433,1
Progabide,361,0
Vigabatrin,313,9
Desflurane,277,0
Zopiclone,337,26
Sevoflurane,301,0
Ketazolam,421,3
Perampanel,37,7
Arbaclofen,49,0
Fluvoxamine,385,88
Midodrine,457,34
Citalopram,313,49
Eletriptan,169,28
Guanadrel,385,0
Reboxetine,217,0
Cabergoline,265,8
Ropinirole,229,7
Venlafaxine,265,96
Zolmitriptan,217,59
Pramipexole,217,7
Dipivefrin,445,2
Fluoxetine,337,99
Duloxetine,133,26
Brimonidine,229,12
Cisapride,301,86
Guanabenz,397,3
Dexmedetomidine,193,3
Sumatriptan,301,20
Tizanidine,229,46
Modafinil,349,10
Fenoldopam,253,0
Minaprine,433,0
Dobutamine,457,17
Almotriptan,181,26
Salmeterol,301,17
Naratriptan,217,23
Rizatriptan,205,20
Pindolol,445,45
Apraclonidine,325,2
Formoterol,349,19
Frovatriptan,181,20
Guanfacine,421,3
Selegiline,397,23
Arbutamine,217,0
Sertraline,289,42
Sibutramine,241,39
Bupropion,397,13
Moclobemide,313,61
Pergolide,397,15
Dexfenfluramine,361,30
Lisdexamfetamine,97,4
Arformoterol,109,0
Pirbuterol,397,27
Procaterol,421,25
Rasagiline,121,73
Clenbuterol,457,0
Bambuterol,301,1
Zimelidine,409,0
Milnacipran,73,14
Lofexidine,409,0
Indacaterol,73,25
Rotigotine,109,10
Tapentadol,85,7
Droxidopa,313,0
Vilazodone,49,33
Desvenlafaxine,85,61
Dexmethylphenidate,169,0
Mirabegron,37,9
Levomilnacipran,25,1
Nefazodone,253,73
Escitalopram,157,39
Betaxolol,385,26
Carteolol,421,27
Metipranolol,313,1
Esmolol,349,40
Labetalol,457,41
Bisoprolol,349,44
Nadolol,445,41
Levobunolol,361,1
Penbutolol,421,28
Nebivolol,217,2
Palonosetron,145,0
Doxazosin,325,4
Atracurium,385,18
Dolasetron,217,9
Granisetron,289,0
Ondansetron,301,6
Alosetron,181,1
Terazosin,361,27
Dextroamphetamine,469,21
Dronedarone,73,29
Agomelatine,73,0
