Drug Name,Age,Degree
Pilocarpine,1608,1
Physostigmine,1632,0
Phenobarbital,1200,83
Barbital,1296,2
Morphine,2328,5
Codeine,2148,7
Oxycodone,1128,9
Menthol,2844,0
Heroin,1356,2
Dihydromorphine,1176,0
Caffeine,1212,13
Theophylline,1308,80
Papaverine,1164,2
Aminophylline,1236,76
Quinine,2208,32
Quinidine,1116,118
Benzocaine,1308,0
Ouabain,1236,0
Ethanol,2976,6
Epinephrine,1320,48
Apomorphine,1704,13
Procaine,1272,0
Cocaine,1524,16
Ephedra,1500,17
Atropine,1608,8
Homatropine Methylbromide,1572,5
Scopolamine,1308,8
Podofilox,2292,0
Acetaminophen,1500,8
Salicylic acid,1632,0
Acetylsalicylic acid,1344,45
Salicylate-sodium,1632,13
Antipyrine,1512,0
