Drug Name,Age,Degree
Levamisole,600,2
Carbachol,840,0
Bethanechol,876,119
Pilocarpine,1728,333
Ambenonium,852,283
Methacholine,420,119
Cytisine,684,0
Pyridostigmine,792,289
Isoflurophate,864,283
Malathion,468,9
Demecarium,744,283
Physostigmine,1752,283
Rivastigmine,288,381
Echothiophate,744,8
Neostigmine,1080,283
Butethal,1176,0
Levallorphan,840,54
Anileridine,756,38
Methadyl Acetate,336,0
Alvimopan,156,54
Glycine,516,8
Pethidine,936,0
Menthol,2964,0
Levomethadyl Acetate,336,0
Heroin,1476,0
Vapreotide,192,191
Avanafil,108,352
Caffeine,1332,654
Papaverine,1284,614
Oxtriphylline,840,581
Enoximone,384,7
Cetuximab,216,338
Indecainide,384,0
Oxiconazole,456,9
Terconazole,408,0
Clotrimazole,576,21
Hexylcaine,828,0
Cinchocaine,924,285
Prilocaine,696,38
Proparacaine,816,3
Benzonatate,756,0
Oxybuprocaine,816,76
Cromoglicic acid,636,0
Tioconazole,480,17
Tocainide,480,459
Benzocaine,1428,36
Econazole,564,29
Sertaconazole,216,0
Ajmaline,756,432
Aprindine,540,475
Bifonazole,456,315
Afatinib,96,337
LULICONAZOLE,96,0
Regadenoson,156,39
Drotaverine,672,2
Acetyldigitoxin,804,494
Naftifine,396,0
Dorzolamide,324,210
Ethacrynic acid,660,0
Ethinamate,792,0
Butenafine,300,0
Ouabain,1356,549
Brinzolamide,252,13
Mafenide,876,4
Succinic acid,156,89
Chlormerodrin,828,0
Pyridoxal Phosphate,984,0
Pyruvic acid,372,0
L-Alanine,600,0
Valproic Acid,648,0
Clorazepate,648,0
Arbaclofen,120,0
Isoetarine,960,0
Alseroxylon,828,0
Dipivefrin,516,3
Apraclonidine,396,52
Chloroprocaine,828,369
L-DOPA,648,0
Ergonovine,984,0
Ephedra,1620,0
Fencamfamine,708,0
Methamphetamine,936,0
Propylhexedrine,864,0
Chlorphenamine,864,0
Carteolol,492,310
Metipranolol,384,305
Levobunolol,432,22
Betazole,816,0
Dapiprazole,372,9
Ipratropium bromide,564,0
Ethopropazine,828,0
Methylscopolamine bromide,888,0
Gallamine Triethiodide,840,0
Anisotropine Methylbromide,708,0
Histamine Phosphate,984,0
Homatropine Methylbromide,1692,0
Tropicamide,840,225
Glycopyrrolate,720,0
Carphenazine,708,24
Doxacurium chloride,348,0
Alizapride,480,24
Propericiazine,624,0
Silodosin,180,477
Betahistine,636,201
Bromopride,528,25
Cisatracurium Besylate,312,0
Diphemanil Methylsulfate,828,0
Cyclopentolate,816,226
Lindane,840,2
Gadopentetate dimeglumine,408,0
Loratadine,396,408
Nizatidine,408,481
Azatadine,636,477
Olopatadine,288,0
Tripelennamine,900,277
Methdilazine,732,125
Ketotifen,516,396
Fexofenadine,300,386
Emedastine,336,390
Levocabastine,336,507
Diphenylpyraline,840,34
Phenindamine,888,37
Pheniramine,876,396
Clofedanol,756,24
Alcaftadine,132,7
Antazoline,876,396
Isothipendyl,768,34
Roxatidine acetate,420,110
Chlorcyclizine,864,395
Travoprost,240,283
Carboprost Tromethamine,504,0
Latanoprost,312,106
Alprostadil,480,170
Bimatoprost,240,287
Dinoprostone,588,311
Misoprostol,420,21
Dinoprost Tromethamine,552,0
Tafluprost,108,105
Hirulog,252,0
Suramin,1212,4
Amlexanox,300,0
Pentosan Polysulfate,336,0
Cabozantinib,108,448
Flavopiridol,168,0
Fulvestrant,228,52
Clomifene,660,204
Rifabutin,348,445
Zalcitabine,348,124
Atovaquone,348,252
Chlorotrianisene,828,500
Conjugated Estrogens,960,0
Dydrogesterone,720,113
Raloxifene,276,457
Fluticasone Propionate,372,0
Medroxyprogesterone Acetate,756,0
Oxandrolone,684,358
Norethindrone,768,0
Ethynodiol,672,0
Drostanolone,720,0
Dienestrol,840,359
Nandrolone phenpropionate,744,186
Fluoxymesterone,780,161
Estramustine,576,340
Danazol,588,389
Testosterone Propionate,1008,0
Estropipate,636,0
Quinestrol,636,510
Norelgestromin,240,416
Nandrolone decanoate,708,197
Diflorasone,516,123
Alclometasone,432,129
Medrysone,612,188
Amcinonide,516,130
Beclomethasone,588,0
Azelaic Acid,300,0
Fluocinolone Acetonide,720,0
Halobetasol Propionate,360,0
Flumethasone (pivalate),684,0
Hydrocortamate,780,222
Clocortolone,528,123
Flurandrenolide,708,129
Loteprednol,276,175
Prednicarbate,360,141
Desonide,588,195
Difluprednate,516,186
Stavudine,324,351
Acetohydroxamic Acid,456,0
Fondaparinux sodium,240,0
Lymecycline,696,326
Oxytetracycline,852,433
Demeclocycline,744,310
Spectinomycin,600,17
Methacycline,696,0
Rolitetracycline,744,245
Amsacrine,456,476
Valrubicin,276,6
Podofilox,2412,0
Epirubicin,264,485
Sodium stibogluconate,972,0
Besifloxacin,144,9
Probucol,528,363
Crofelemer,108,0
Clofibrate,696,419
Bezafibrate,528,330
Masoprocol,348,4
Aminosalicylic Acid,876,0
Diethylcarbamazine,864,283
Suprofen,396,126
Bromfenac,288,124
Salicylate-sodium,1752,0
Niflumic Acid,636,0
Acetylcysteine,636,56
Nepafenac,192,124
