Drug Name,Age,Degree
Pilocarpine,1669,3
Physostigmine,1693,8
Phenobarbital,1261,227
Barbital,1357,0
Morphine,2389,184
Codeine,2209,83
Oxycodone,1189,120
Menthol,2905,0
Heroin,1417,0
Dihydromorphine,1237,0
Caffeine,1273,160
Theophylline,1369,187
Papaverine,1225,14
Aminophylline,1297,134
Quinine,2269,209
Quinidine,1177,146
Benzocaine,1369,4
Ouabain,1297,0
Ethanol,3037,276
Epinephrine,1381,115
Apomorphine,1765,20
Procaine,1333,1
Cocaine,1585,72
Ephedra,1561,4
Atropine,1669,38
Homatropine Methylbromide,1633,0
Scopolamine,1369,52
Podofilox,2353,0
Acetaminophen,1561,98
Salicylic acid,1693,0
Acetylsalicylic acid,1405,257
Salicylate-sodium,1693,159
Antipyrine,1573,1
