Drug Name,Age,Degree
Levamisole,480,4
Succinylcholine,708,13
Carbachol,720,1
Bethanechol,756,1
Ambenonium,732,8
Decamethonium,744,0
Cytisine,564,0
Pyridostigmine,672,11
Isoflurophate,744,0
Hexafluronium,672,0
Demecarium,624,1
Edrophonium,720,8
Echothiophate,624,1
Neostigmine,960,6
Dimetacrine,528,0
Tubocurarine,792,15
Butabarbital,948,50
Butalbital,492,49
Talbutal,672,29
Pentobarbital,972,41
Secobarbital,924,35
Metharbital,756,0
Thiopental,924,32
Primidone,732,62
Methylphenobarbital,948,31
Amobarbital,1044,35
Aprobarbital,1092,29
Butethal,1056,29
Heptabarbital,756,29
Hexobarbital,948,29
Levallorphan,720,0
Anileridine,636,0
Naloxone,504,0
Oxymorphone,624,3
Hydromorphone,1020,3
Methadone,768,58
Pethidine,816,23
Dextromethorphan,696,23
Dextropropoxyphene,648,12
Pentazocine,564,2
Fentanyl,576,22
Loperamide,432,0
Levorphanol,720,3
Hydrocodone,1044,3
Diphenoxylate,612,3
Pentolinium,708,0
Trimethaphan,696,0
Halothane,660,4
Ketamine,576,5
Phencyclidine,732,2
Ketobemidone,708,0
Ifenprodil,468,0
Chloroquine,768,20
Dyphylline,756,35
Pentoxifylline,468,9
Dipyridamole,600,6
Primaquine,708,5
Oxtriphylline,720,72
Tofisopam,432,0
Phenytoin,876,151
Clotrimazole,456,14
Lidocaine,756,29
Bupivacaine,552,1
Hexylcaine,708,0
Cinchocaine,804,0
Mephenytoin,792,65
Carbamazepine,576,110
Dyclonine,660,0
Prilocaine,576,0
Ethotoin,648,66
Proparacaine,696,0
Benzonatate,636,0
Oxybuprocaine,696,0
Mepivacaine,624,0
Cromoglicic acid,516,0
Procainamide,672,34
Miconazole,480,29
Phenacemide,744,0
Econazole,444,0
Ajmaline,636,0
Phenazopyridine,612,0
Drotaverine,552,0
Methyclothiazide,612,4
Chlorthalidone,612,10
Ethoxzolamide,648,0
Diltiazem,444,48
Trimethadione,780,2
Methocarbamol,648,1
Bendroflumethiazide,624,8
Acetyldigitoxin,684,0
Metolazone,456,8
Benzthiazide,612,2
Ethosuximide,612,3
Cyclothiazide,576,2
Verapamil,576,92
Furosemide,564,22
Methazolamide,624,9
Hydroflumethiazide,624,4
Acetazolamide,696,9
Chlorothiazide,648,10
Bumetanide,468,17
Ethacrynic acid,540,18
Hydrochlorothiazide,624,12
Trichlormethiazide,612,10
Ethinamate,672,0
Nifedipine,432,35
Diazoxide,492,9
Diclofenamide,636,4
Bretylium,456,11
Polythiazide,600,4
Quinethazone,576,2
Digitoxin,744,13
Cyclandelate,636,1
Methsuximide,648,3
Mafenide,756,0
Cinnarizine,600,0
Chlormerodrin,708,0
Pyridoxal Phosphate,864,0
L-Alanine,480,0
Baclofen,480,1
Enflurane,468,2
Valproic Acid,528,18
Meprobamate,672,0
Clorazepate,528,21
Methoxyflurane,588,5
Methyprylon,672,0
Thiamylal,720,0
Chlormezanone,636,0
Glutethimide,684,8
Flunitrazepam,444,1
Phenformin,624,0
Glisoxepide,444,17
Amphetamine,948,18
Phentermine,624,30
Reserpine,696,25
Isoetarine,840,1
Etomidate,468,0
Dihydroergotamine,780,64
Protriptyline,540,50
Norepinephrine,732,20
Alseroxylon,708,7
Phenylpropanolamine,876,46
Methylphenidate,672,8
Fenfluramine,576,30
Clonidine,540,30
Mazindol,432,27
Lisuride,516,0
Metaraminol,684,16
Ergotamine,1080,64
Methoxamine,744,18
Tranylcypromine,612,112
Phenelzine,624,85
Orciprenaline,600,39
Phenmetrazine,684,13
Pseudoephedrine,636,26
Benzphetamine,612,24
Ritodrine,432,0
Terbutaline,492,39
Amantadine,540,10
Oxymetazoline,600,1
Diethylpropion,624,27
Dopamine,444,20
Salbutamol,504,26
Isoprenaline,744,28
Deserpidine,648,7
Chloroprocaine,708,0
Acebutolol,456,38
Bromocriptine,432,38
L-DOPA,528,15
Clomipramine,516,72
Isocarboxazid,624,86
Ergonovine,864,35
Hydralazine,708,3
Fenoterol,480,39
Ephedrine,1020,21
Mephentermine,768,17
Ginkgo biloba,456,52
Fencamfamine,588,0
Methamphetamine,816,22
Phendimetrazine,600,21
Pargyline,576,10
Xylometazoline,624,0
Isometheptene,756,1
Levonordefrin,612,1
Naphazoline,828,0
Propylhexedrine,744,0
Captodiame,636,0
Trimipramine,564,176
Chlorphenamine,744,13
Timolol,444,61
Sotalol,444,53
Amiodarone,588,73
Metoprolol,432,52
Atenolol,432,43
Propranolol,564,63
Alprenolol,528,0
Practolol,492,22
Oxprenolol,492,37
Bupranolol,504,0
Betazole,696,0
Methysergide,624,40
Amitriptyline,600,78
Ipratropium bromide,444,4
Metixene,612,0
Methylergometrine,780,24
Clozapine,468,59
Thiethylperazine,600,13
Trihexyphenidyl,744,11
Oxyphencyclimine,624,1
Procyclidine,672,7
Sulpiride,516,0
Ethopropazine,708,12
Loxapine,432,21
Promazine,660,15
Hyoscyamine,612,8
Prochlorperazine,660,29
Cyproheptadine,600,8
Droperidol,576,25
Prazosin,444,25
Imipramine,624,79
Methylscopolamine bromide,768,7
Chlorpromazine,708,52
Gallamine Triethiodide,720,0
