Drug Name,Age,Degree
Levamisole,543,0
Succinylcholine,771,59
Carbachol,783,27
Bethanechol,819,3
Ambenonium,795,0
Decamethonium,807,0
Cytisine,627,0
Pyridostigmine,735,9
Isoflurophate,807,61
Hexafluronium,735,0
Demecarium,687,0
Edrophonium,783,9
Echothiophate,687,1
Neostigmine,1023,8
Dimetacrine,591,0
Tubocurarine,855,0
Butabarbital,1011,190
Butalbital,555,82
Talbutal,735,0
Pentobarbital,1035,192
Secobarbital,987,220
Metharbital,819,0
Thiopental,987,13
Primidone,795,307
Methylphenobarbital,1011,2
Amobarbital,1107,73
Aprobarbital,1155,0
Butethal,1119,147
Heptabarbital,819,147
Hexobarbital,1011,147
Levallorphan,783,0
Anileridine,699,0
Naloxone,567,2
Oxymorphone,687,70
Hydromorphone,1083,70
Methadone,831,218
Pethidine,879,134
Dextromethorphan,759,71
Dextropropoxyphene,711,0
Pentazocine,627,60
Fentanyl,639,173
Loperamide,495,6
Levorphanol,783,61
Hydrocodone,1107,311
Diphenoxylate,675,14
Pentolinium,771,0
Trimethaphan,759,0
Halothane,723,2
Ketamine,639,54
Phencyclidine,795,0
Ketobemidone,771,0
Ifenprodil,531,0
Chloroquine,831,84
Dyphylline,819,64
Pentoxifylline,531,139
Dipyridamole,663,99
Primaquine,771,49
Oxtriphylline,783,0
Tofisopam,495,11
Phenytoin,939,443
Clotrimazole,519,11
Lidocaine,819,67
Bupivacaine,615,20
Hexylcaine,771,0
Cinchocaine,867,0
Mephenytoin,855,2
Carbamazepine,639,290
Dyclonine,723,0
Prilocaine,639,28
Ethotoin,711,36
Proparacaine,759,0
Benzonatate,699,0
Oxybuprocaine,759,0
Mepivacaine,687,56
Cromoglicic acid,579,1
Procainamide,735,28
Miconazole,543,11
Phenacemide,807,0
Econazole,507,3
Ajmaline,699,0
Phenazopyridine,675,4
Drotaverine,615,0
Methyclothiazide,675,78
Chlorthalidone,675,100
Ethoxzolamide,711,55
Diltiazem,507,151
Trimethadione,843,2
Methocarbamol,711,32
Bendroflumethiazide,687,92
Acetyldigitoxin,747,0
Metolazone,519,100
Benzthiazide,675,0
Ethosuximide,675,68
Cyclothiazide,639,23
Verapamil,639,259
Furosemide,627,112
Methazolamide,687,32
Hydroflumethiazide,687,23
Acetazolamide,759,79
Chlorothiazide,711,100
Bumetanide,531,107
Ethacrynic acid,603,111
Hydrochlorothiazide,687,101
Trichlormethiazide,675,243
Ethinamate,735,0
Nifedipine,495,104
Diazoxide,555,101
Diclofenamide,699,53
Bretylium,519,60
Polythiazide,663,0
Quinethazone,639,0
Digitoxin,807,0
Cyclandelate,699,0
Methsuximide,711,39
Mafenide,819,5
Cinnarizine,663,0
Chlormerodrin,771,0
Pyridoxal Phosphate,927,0
L-Alanine,543,0
Baclofen,543,195
Enflurane,531,0
Valproic Acid,591,75
Meprobamate,735,33
Clorazepate,591,65
Methoxyflurane,651,0
Methyprylon,735,0
Thiamylal,783,0
Chlormezanone,699,81
Glutethimide,747,2
Flunitrazepam,507,11
Phenformin,687,0
Glisoxepide,507,0
Amphetamine,1011,200
Phentermine,687,132
Reserpine,759,166
Isoetarine,903,0
Etomidate,531,0
Dihydroergotamine,843,79
Protriptyline,603,150
Norepinephrine,795,93
Alseroxylon,771,0
Phenylpropanolamine,939,59
Methylphenidate,735,198
Fenfluramine,639,0
Clonidine,603,76
Mazindol,495,0
Lisuride,579,0
Metaraminol,747,59
Ergotamine,1143,79
Methoxamine,807,59
Tranylcypromine,675,358
Phenelzine,687,342
Orciprenaline,663,105
Phenmetrazine,747,59
Pseudoephedrine,699,48
Benzphetamine,675,153
Ritodrine,495,59
Terbutaline,555,86
Amantadine,603,17
Oxymetazoline,663,78
Diethylpropion,687,42
Dopamine,507,86
Salbutamol,567,49
Isoprenaline,807,62
Deserpidine,711,0
Chloroprocaine,771,2
Acebutolol,519,124
Bromocriptine,495,78
L-DOPA,591,0
Clomipramine,579,172
Isocarboxazid,687,130
Ergonovine,927,76
Hydralazine,771,53
Fenoterol,543,83
Ephedrine,1083,53
Mephentermine,831,59
Ginkgo biloba,519,9
Fencamfamine,651,71
Methamphetamine,879,139
Phendimetrazine,663,95
Pargyline,639,0
Xylometazoline,687,0
Isometheptene,819,55
Levonordefrin,675,47
Naphazoline,891,78
Propylhexedrine,807,41
Captodiame,699,0
Trimipramine,627,171
Chlorphenamine,807,90
Timolol,507,79
Sotalol,507,74
Amiodarone,651,137
Metoprolol,495,113
Atenolol,495,68
Propranolol,627,117
Alprenolol,591,0
Practolol,555,0
Oxprenolol,555,0
Bupranolol,567,0
Betazole,759,0
Methysergide,687,0
Amitriptyline,663,236
Ipratropium bromide,507,143
Metixene,675,0
Methylergometrine,843,7
Clozapine,531,311
Thiethylperazine,663,0
Trihexyphenidyl,807,23
